age,gender,state,race,educational_attainment,occupation
17,Female,Nebraska/NE,White alone,Bachelor's degree,MGR-Financial Managers
20,Female,Texas/TX,White alone,Associate's degree,ENT-Producers And Directors
20,Female,Massachusetts/MA,White alone,Doctorate degree,EDU-Postsecondary Teachers
18,Female,Texas/TX,White alone,Master's degree,EDU-Special Education Teachers
18,Female,California/CA,Some Other Race alone,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Minnesota/MN,White; Black or African American,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,California/CA,Chinese alone,Bachelor's degree,"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products"
17,Female,Texas/TX,Some Other Race alone,"Some college, but less than 1 year",CLN-Janitors And Building Cleaners
17,Female,Mississippi/MS,White alone,Bachelor's degree,PRT-Private Detectives And Investigators
17,Female,New York/NY,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Massachusetts/MA,White alone,Master's degree,EDU-Secondary School Teachers
19,Female,North Carolina/NC,Black or African American alone,Bachelor's degree,PRS-Exercise Trainers And Group Fitness Instructors
20,Female,Texas/TX,White alone,Associate's degree,EDU-Other Teachers and Instructors
18,Female,New Hampshire/NH,White; Some Other Race,"1 or more years of college credit, no degree",RPR-Aircraft Mechanics And Service Technicians
20,Female,Arizona/AZ,White alone,"Some college, but less than 1 year",EDU-Teaching Assistants
18,Female,Idaho/ID,White alone,Bachelor's degree,"MGR-Farmers, Ranchers, And Other Agricultural Managers"
19,Female,Indiana/IN,White alone,GED or alternative credential,"RPR-Maintenance And Repair Workers, General"
16,Female,Alabama/AL,White alone,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Louisiana/LA,White; Some Other Race,Regular high school diploma,ENT-Artists And Related Workers
18,Female,Georgia/GA,White alone,"Some college, but less than 1 year",CLN-Landscaping And Groundskeeping Workers
19,Female,California/CA,Some Other Race alone,"Some college, but less than 1 year",TRN-Supervisors Of Transportation And Material Moving Workers
16,Female,Alabama/AL,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,North Carolina/NC,Black or African American alone,Doctorate degree,SCI-Other Psychologists
20,Female,Minnesota/MN,White alone,Professional degree beyond a bachelor's degree,CMS-Clergy
18,Female,Maryland/MD,Black or African American alone,Regular high school diploma,"TRN-Bus Drivers, Transit And Intercity"
19,Female,Virginia/VA,Asian Indian alone,Regular high school diploma,OFF-Postal Service Mail Carriers
19,Female,Oregon/OR,White alone,Bachelor's degree,BUS-Training And Development Specialists
