gender,educational_attainment,occupation,industry,race,employment_status,state,age,annual_income_usd,weekly_work_hours
Female,Regular high school diploma,CMS-Clergy,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,Not in Labor Force,Minnesota/MN,21,3600,20
Female,Bachelor's degree,"ENG-Industrial Engineers, Including Health And Safety","SRV-Civic, Social, Advocacy Organizations, And Grantmaking And Giving Services",White alone,"Civilian employed, at work",Connecticut/CT,23,52000,40
Female,8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),AGR-Crop Production,White alone,"Civilian employed, at work",New Jersey/NJ,24,75000,40
Female,Bachelor's degree,CON-Sheet Metal Workers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",California/CA,23,30000,40
Female,Regular high school diploma,EDU-Elementary And Middle School Teachers,MED-Home Health Care Services,Chinese alone,"Civilian employed, at work",Washington/WA,21,39000,32
Female,Regular high school diploma,"CMS-Educational, Guidance, And Career Counselors And Advisors",FIN-Nondepository Credit Intermediation And Related Activities,White alone,"Civilian employed, at work",South Dakota/SD,24,23400,30
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White; Some Other Race,"Civilian employed, at work",California/CA,20,1500,20
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,New York/NY,19,0,0
Female,9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Independent Artists, Writers, And Performers",White; Some Other Race,"Civilian employed, at work",North Carolina/NC,23,46000,40
Female,Bachelor's degree,CMM-Software Developers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Wisconsin/WI,20,0,0
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Gasoline Stations,White alone,"Civilian employed, at work",West Virginia/WV,24,30600,45
Female,Bachelor's degree,ENT-Other Media And Communication Equipment Workers,"MFG-Cut And Sew, And Apparel Accessories And Other Apparel",White alone,"Civilian employed, at work",Tennessee/TN,24,23000,40
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"PRF-Management, Scientific, And Technical Consulting Services",Black or African American alone,"Civilian employed, at work",Colorado/CO,22,4000,45
Female,Bachelor's degree,EDU-Preschool And Kindergarten Teachers,ENT-Traveler Accommodation,White alone,Not in Labor Force,California/CA,19,2000,20
Female,N/A (less than 3 years old),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MED-Offices Of Dentists,White alone,"Civilian employed, at work",Michigan/MI,23,75000,35
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",South Carolina/SC,19,5600,12
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"RET-Building Material And Supplies Dealers, Except Hardware Retailers",White alone,"Civilian employed, at work",Tennessee/TN,18,3600,10
Female,Bachelor's degree,ENT-Editors,"FIN-Credit Unions, And Savings Institutions And Other Depository Credit Intermediation",Black or African American alone,"Civilian employed, at work",Ohio/OH,19,13000,38
Female,Bachelor's degree,PRS-Childcare Workers,PRF-Scientific Research And Development Services,White alone,"Civilian employed, at work",Kentucky/KY,20,12000,16
Female,Bachelor's degree,MED-Physical Therapists,SRV-Other Personal Services,Asian Indian alone,Not in Labor Force,Kentucky/KY,22,0,0
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Filipino; Native Hawaiian,"Civilian employed, at work",Oregon/OR,21,30000,24
Female,Bachelor's degree,"CMS-Counselors, All Other",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Florida/FL,23,0,0
Female,Regular high school diploma,PRD-Helpers--Production Workers,SRV-Other Personal Services,White alone,"Civilian employed, at work",Texas/TX,22,5000,16
Female,Regular high school diploma,MED-Licensed Practical And Licensed Vocational Nurses,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Kansas/KS,21,0,0
Female,8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked",White; American Indian and Alaska Native,Unemployed,Michigan/MI,18,0,0
Female,Grade 8,OFF-Medical Secretaries and Administrative Assistants,RET-Supermarkets And Other Grocery (Except Convenience) Retailers,Black or African American alone,"Civilian employed, at work",Florida/FL,20,14400,20
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),SCA-Child Care Services,Black or African American; Other Asian,"Civilian employed, at work",Arizona/AZ,19,4000,20
Female,"1 or more years of college credit, no degree",EDU-Teaching Assistants,SRV-Nail Salons And Other Personal Care Services,White; Some Other Race,"Civilian employed, at work",Texas/TX,24,12000,40
Female,Master's degree,"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Asian Indian alone,Not in Labor Force,New York/NY,18,0,0
