gender,educational_attainment,occupation,industry,race,employment_status,state,age,annual_income_usd,weekly_work_hours,age_group,gender_mapped,matching_key,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Female,Regular high school diploma,CMS-Clergy,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,Not in Labor Force,Minnesota/MN,21,3600,20,18-24,Female,18-24|Female,6.75,6.25,5.25,8.0,5.75
Female,Bachelor's degree,"ENG-Industrial Engineers, Including Health And Safety","SRV-Civic, Social, Advocacy Organizations, And Grantmaking And Giving Services",White alone,"Civilian employed, at work",Connecticut/CT,23,52000,40,18-24,Female,18-24|Female,4.0,4.25,6.25,6.75,7.25
Female,8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),AGR-Crop Production,White alone,"Civilian employed, at work",New Jersey/NJ,24,75000,40,18-24,Female,18-24|Female,6.75,7.0,3.2499999999999996,7.749999999999999,4.5
Female,Bachelor's degree,CON-Sheet Metal Workers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",California/CA,23,30000,40,18-24,Female,18-24|Female,9.0,8.5,4.25,10.0,7.0
Female,Regular high school diploma,EDU-Elementary And Middle School Teachers,MED-Home Health Care Services,Chinese alone,"Civilian employed, at work",Washington/WA,21,39000,32,18-24,Female,18-24|Female,7.749999999999999,7.749999999999999,6.0,8.25,6.5
Female,Regular high school diploma,"CMS-Educational, Guidance, And Career Counselors And Advisors",FIN-Nondepository Credit Intermediation And Related Activities,White alone,"Civilian employed, at work",South Dakota/SD,24,23400,30,18-24,Female,18-24|Female,8.25,4.0,7.0,7.749999999999999,7.25
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White; Some Other Race,"Civilian employed, at work",California/CA,20,1500,20,18-24,Female,18-24|Female,7.5,5.0,8.0,8.5,4.0
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,New York/NY,19,0,0,18-24,Female,18-24|Female,9.0,5.75,2.5,9.25,8.75
Female,9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Independent Artists, Writers, And Performers",White; Some Other Race,"Civilian employed, at work",North Carolina/NC,23,46000,40,18-24,Female,18-24|Female,8.5,6.0,3.5,7.25,5.0
Female,Bachelor's degree,CMM-Software Developers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Wisconsin/WI,20,0,0,18-24,Female,18-24|Female,8.0,7.749999999999999,8.5,9.25,3.2499999999999996
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Gasoline Stations,White alone,"Civilian employed, at work",West Virginia/WV,24,30600,45,18-24,Female,18-24|Female,6.5,6.5,6.0,7.5,7.25
Female,Bachelor's degree,ENT-Other Media And Communication Equipment Workers,"MFG-Cut And Sew, And Apparel Accessories And Other Apparel",White alone,"Civilian employed, at work",Tennessee/TN,24,23000,40,18-24,Female,18-24|Female,6.75,5.0,2.75,2.75,6.5
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"PRF-Management, Scientific, And Technical Consulting Services",Black or African American alone,"Civilian employed, at work",Colorado/CO,22,4000,45,18-24,Female,18-24|Female,6.0,4.25,3.5,6.25,5.5
Female,Bachelor's degree,EDU-Preschool And Kindergarten Teachers,ENT-Traveler Accommodation,White alone,Not in Labor Force,California/CA,19,2000,20,18-24,Female,18-24|Female,8.75,7.749999999999999,4.5,7.5,4.75
Female,N/A (less than 3 years old),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MED-Offices Of Dentists,White alone,"Civilian employed, at work",Michigan/MI,23,75000,35,18-24,Female,18-24|Female,5.5,8.25,6.5,8.0,6.75
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",South Carolina/SC,19,5600,12,18-24,Female,18-24|Female,7.5,4.5,1.5000000000000002,6.25,6.75
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"RET-Building Material And Supplies Dealers, Except Hardware Retailers",White alone,"Civilian employed, at work",Tennessee/TN,18,3600,10,18-24,Female,18-24|Female,7.5,4.5,3.75,9.0,5.5
Female,Bachelor's degree,ENT-Editors,"FIN-Credit Unions, And Savings Institutions And Other Depository Credit Intermediation",Black or African American alone,"Civilian employed, at work",Ohio/OH,19,13000,38,18-24,Female,18-24|Female,8.25,5.25,6.75,8.5,1.25
Female,Bachelor's degree,PRS-Childcare Workers,PRF-Scientific Research And Development Services,White alone,"Civilian employed, at work",Kentucky/KY,20,12000,16,18-24,Female,18-24|Female,8.5,8.25,0.9999999999999998,4.75,5.5
Female,Bachelor's degree,MED-Physical Therapists,SRV-Other Personal Services,Asian Indian alone,Not in Labor Force,Kentucky/KY,22,0,0,18-24,Female,18-24|Female,8.75,8.25,5.25,9.25,5.5
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Filipino; Native Hawaiian,"Civilian employed, at work",Oregon/OR,21,30000,24,18-24,Female,18-24|Female,7.5,5.0,2.75,7.5,4.25
Female,Bachelor's degree,"CMS-Counselors, All Other",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Florida/FL,23,0,0,18-24,Female,18-24|Female,8.75,7.0,6.75,7.0,8.25
Female,Regular high school diploma,PRD-Helpers--Production Workers,SRV-Other Personal Services,White alone,"Civilian employed, at work",Texas/TX,22,5000,16,18-24,Female,18-24|Female,8.0,4.75,7.5,6.5,4.5
Female,Regular high school diploma,MED-Licensed Practical And Licensed Vocational Nurses,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Kansas/KS,21,0,0,18-24,Female,18-24|Female,6.25,5.75,4.75,7.25,4.5
Female,8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked",White; American Indian and Alaska Native,Unemployed,Michigan/MI,18,0,0,18-24,Female,18-24|Female,8.5,3.2499999999999996,8.0,8.25,7.749999999999999
Female,Grade 8,OFF-Medical Secretaries and Administrative Assistants,RET-Supermarkets And Other Grocery (Except Convenience) Retailers,Black or African American alone,"Civilian employed, at work",Florida/FL,20,14400,20,18-24,Female,18-24|Female,5.5,6.25,3.0000000000000004,6.5,4.0
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),SCA-Child Care Services,Black or African American; Other Asian,"Civilian employed, at work",Arizona/AZ,19,4000,20,18-24,Female,18-24|Female,7.5,3.0000000000000004,8.75,5.0,8.5
Female,"1 or more years of college credit, no degree",EDU-Teaching Assistants,SRV-Nail Salons And Other Personal Care Services,White; Some Other Race,"Civilian employed, at work",Texas/TX,24,12000,40,18-24,Female,18-24|Female,9.25,3.2499999999999996,5.0,5.75,6.0
Female,Master's degree,"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Asian Indian alone,Not in Labor Force,New York/NY,18,0,0,18-24,Female,18-24|Female,7.25,9.75,9.25,8.5,3.2499999999999996
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Some Other Race alone,Not in Labor Force,Washington/WA,23,0,0,18-24,Female,18-24|Female,8.0,1.25,9.5,9.75,3.5
Female,1,ENT-Other Media And Communication Equipment Workers,"ENT-Other Amusement, Gambling, And Recreation Industries",White alone,"Civilian employed, at work",Mississippi/MS,22,7000,30,18-24,Female,18-24|Female,6.75,5.75,4.0,9.75,4.25
Female,8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Supermarkets And Other Grocery (Except Convenience) Retailers,Vietnamese alone,Not in Labor Force,South Dakota/SD,22,5000,20,18-24,Female,18-24|Female,5.5,7.0,4.75,6.0,3.75
Female,Bachelor's degree,"SAL-Sales Representatives, Wholesale And Manufacturing",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Black or African American alone,Not in Labor Force,Pennsylvania/PA,18,0,0,18-24,Female,18-24|Female,5.0,4.25,0.9999999999999998,7.0,7.0
