gender,educational_attainment,occupation,industry,race,employment_status,state,age,annual_income_usd,weekly_work_hours,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Female,Regular high school diploma,CMS-Clergy,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,Not in Labor Force,Minnesota/MN,21,3600,20,3.75,5.95,1.02,7.45,8.07
Female,Bachelor's degree,"ENG-Industrial Engineers, Including Health And Safety","SRV-Civic, Social, Advocacy Organizations, And Grantmaking And Giving Services",White alone,"Civilian employed, at work",Connecticut/CT,23,52000,40,9.51,3.65,2.98,2.51,2.21
Female,8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),AGR-Crop Production,White alone,"Civilian employed, at work",New Jersey/NJ,24,75000,40,7.32,0.05,6.37,6.85,0.35
Female,Bachelor's degree,CON-Sheet Metal Workers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",California/CA,23,30000,40,5.99,5.61,4.36,0.45,0.42
Female,Regular high school diploma,EDU-Elementary And Middle School Teachers,MED-Home Health Care Services,Chinese alone,"Civilian employed, at work",Washington/WA,21,39000,32,1.56,8.97,2.21,8.03,8.7
Female,Regular high school diploma,"CMS-Educational, Guidance, And Career Counselors And Advisors",FIN-Nondepository Credit Intermediation And Related Activities,White alone,"Civilian employed, at work",South Dakota/SD,24,23400,30,1.56,5.32,9.91,0.25,8.8
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White; Some Other Race,"Civilian employed, at work",California/CA,20,1500,20,0.58,7.8,6.54,1.07,9.61
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,New York/NY,19,0,0,8.66,1.62,8.2,0.25,7.77
Female,9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Independent Artists, Writers, And Performers",White; Some Other Race,"Civilian employed, at work",North Carolina/NC,23,46000,40,6.01,1.37,9.05,4.02,7.9
Female,Bachelor's degree,CMM-Software Developers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Wisconsin/WI,20,0,0,7.08,8.94,1.38,3.59,6.6
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Gasoline Stations,White alone,"Civilian employed, at work",West Virginia/WV,24,30600,45,0.21,7.83,1.55,7.2,4.69
